result_type,capture_timestamp_utc,capture_date,historical_run_date,denominator_scope,category,property_id,configured_name,source_kind,primary_property_evidence,evidence_url,source_row_id,floor_plan_name,raw_availability_value,normalized_availability_date,availability_semantic,explicit_future,source_field,adapter_parser,adapter_trace_method,adapter_route_selected,adapter_row_present,adapter_row_absence_reason,adapter_availability_key,adapter_availability_value,adapter_normalized_availability_date,adapter_availability_semantic,adapter_date_alias_hit,missed_future_by_adapter_alias,formatter_available_date,formatter_available_date_raw,formatter_availability_date_provenance,formatter_error,explicit_future_preserved_by_adapter,explicit_future_preserved_by_formatter,formatter_capture_date_default,pipeline_outcome,loss_classification,confidence,trace_note,adapter_row_json,formatter_row_json,diagnostic_trace_method,diagnostic_adapter_row_present,diagnostic_adapter_availability_key,diagnostic_adapter_availability_value,diagnostic_adapter_normalized_availability_date,diagnostic_formatter_available_date,diagnostic_formatter_availability_date_provenance,diagnostic_formatter_error,diagnostic_gap_classification,diagnostic_adapter_row_json,diagnostic_formatter_row_json,raw_evidence_json
local_current_live_no_rp_oracle_audit_not_canary,2026-08-01T09:06:23Z,2026-08-01,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,2114,Townes at University,realpage_public_widget_units_api,true,https://api.ws.realpage.com/v2/property/8175735/units?available=true&honordisplayorder=true,10,,2026-04-08 00:00 -0500,2026-04-08,historical_embedded,false,internalAvailableDate,_api_parser.realpage_units_to_adapter_shape,exact_current_parser,true,false,unsupported_response_units_envelope,,,,source_blank,false,false,,,,,false,false,false,NATIVE_ROW_DROPPED,adapter_row_selection_loss,MEDIUM,"Primary trace replays the exact public /units envelope. When that envelope is unsupported, the diagnostic trace changes only response.units -> response list to isolate the next loss.",{},{},controlled_single_change_replay_unwrap_response_units,true,,,,2026-08-01,capture_date_default,,,"{""availability_date"":"""",""availability_status"":""AVAILABLE"",""available_units"":"""",""bathrooms"":"""",""bed_label"":"""",""bedrooms"":"""",""building"":"""",""concession"":"""",""deposit"":"""",""extraction_tier"":""TIER_1_API"",""floor"":"""",""floor_plan_name"":"""",""rent_range"":""$1,072"",""source_api_url"":""https://api.ws.realpage.com/v2/property/8175735/units?available=true&honordisplayorder=true"",""sqft"":""675"",""unit_number"":""10""}","{""_available_date_raw"":null,""_concession_quality"":null,""_date_placeholder"":null,""_extra"":null,""_inferred_id"":null,""_rent_range_raw"":""$1,072"",""amenities"":null,""area"":675,""area_absence"":null,""area_absence_evidence"":null,""availability_date_provenance"":""capture_date_default"",""availability_status"":""AVAILABLE"",""available_date"":""2026-08-01"",""available_units"":null,""baths"":null,""beds"":null,""building"":null,""concession_source"":null,""concession_text"":null,""concession_text_clean"":null,""concession_value"":null,""date_captured"":""2026-08-01 09:06:23"",""deposit"":null,""extraction_tier"":""TIER_1_API"",""floor"":null,""floor_plan_id"":null,""floor_plan_name"":null,""is_floor_plan_level"":false,""lease_term"":null,""move_in_date"":null,""offer_banner"":null,""offer_conditions"":null,""offer_target"":null,""offer_type"":null,""offer_value"":null,""rent_high"":1072.0,""rent_low"":1072.0,""source_ids"":{},""unit_id"":""10"",""unit_name"":null}","{""floorplanId"":9628354,""id"":13479867,""internalAvailableDate"":""2026-04-08 00:00 -0500"",""leaseStatus"":""AVAILABLE_READY"",""name"":""10"",""rent"":1072,""unitNumber"":""10"",""vacantDate"":""2026-04-24 00:00 -0000""}"
local_current_live_no_rp_oracle_audit_not_canary,2026-08-01T09:06:23Z,2026-08-01,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,2114,Townes at University,realpage_public_widget_units_api,true,https://api.ws.realpage.com/v2/property/8175735/units?available=true&honordisplayorder=true,08,,2026-04-02 00:00 -0500,2026-04-02,historical_embedded,false,internalAvailableDate,_api_parser.realpage_units_to_adapter_shape,exact_current_parser,true,false,unsupported_response_units_envelope,,,,source_blank,false,false,,,,,false,false,false,NATIVE_ROW_DROPPED,adapter_row_selection_loss,MEDIUM,"Primary trace replays the exact public /units envelope. When that envelope is unsupported, the diagnostic trace changes only response.units -> response list to isolate the next loss.",{},{},controlled_single_change_replay_unwrap_response_units,true,,,,2026-08-01,capture_date_default,,,"{""availability_date"":"""",""availability_status"":""AVAILABLE"",""available_units"":"""",""bathrooms"":"""",""bed_label"":"""",""bedrooms"":"""",""building"":"""",""concession"":"""",""deposit"":"""",""extraction_tier"":""TIER_1_API"",""floor"":"""",""floor_plan_name"":"""",""rent_range"":""$1,072"",""source_api_url"":""https://api.ws.realpage.com/v2/property/8175735/units?available=true&honordisplayorder=true"",""sqft"":""675"",""unit_number"":""08""}","{""_available_date_raw"":null,""_concession_quality"":null,""_date_placeholder"":null,""_extra"":null,""_inferred_id"":null,""_rent_range_raw"":""$1,072"",""amenities"":null,""area"":675,""area_absence"":null,""area_absence_evidence"":null,""availability_date_provenance"":""capture_date_default"",""availability_status"":""AVAILABLE"",""available_date"":""2026-08-01"",""available_units"":null,""baths"":null,""beds"":null,""building"":null,""concession_source"":null,""concession_text"":null,""concession_text_clean"":null,""concession_value"":null,""date_captured"":""2026-08-01 09:06:23"",""deposit"":null,""extraction_tier"":""TIER_1_API"",""floor"":null,""floor_plan_id"":null,""floor_plan_name"":null,""is_floor_plan_level"":false,""lease_term"":null,""move_in_date"":null,""offer_banner"":null,""offer_conditions"":null,""offer_target"":null,""offer_type"":null,""offer_value"":null,""rent_high"":1072.0,""rent_low"":1072.0,""source_ids"":{},""unit_id"":""08"",""unit_name"":null}","{""floorplanId"":9628354,""id"":13479883,""internalAvailableDate"":""2026-04-02 00:00 -0500"",""leaseStatus"":""AVAILABLE_READY"",""name"":""08"",""rent"":1072,""unitNumber"":""08"",""vacantDate"":""2026-05-04 00:00 -0000""}"
local_current_live_no_rp_oracle_audit_not_canary,2026-08-01T09:06:23Z,2026-08-01,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,2114,Townes at University,realpage_public_widget_units_api,true,https://api.ws.realpage.com/v2/property/8175735/units?available=true&honordisplayorder=true,10,,2026-05-30 00:00 -0500,2026-05-30,historical_embedded,false,internalAvailableDate,_api_parser.realpage_units_to_adapter_shape,exact_current_parser,true,false,unsupported_response_units_envelope,,,,source_blank,false,false,,,,,false,false,false,NATIVE_ROW_DROPPED,adapter_row_selection_loss,MEDIUM,"Primary trace replays the exact public /units envelope. When that envelope is unsupported, the diagnostic trace changes only response.units -> response list to isolate the next loss.",{},{},controlled_single_change_replay_unwrap_response_units,true,,,,2026-08-01,capture_date_default,,,"{""availability_date"":"""",""availability_status"":""AVAILABLE"",""available_units"":"""",""bathrooms"":"""",""bed_label"":"""",""bedrooms"":"""",""building"":"""",""concession"":"""",""deposit"":"""",""extraction_tier"":""TIER_1_API"",""floor"":"""",""floor_plan_name"":"""",""rent_range"":""$1,022"",""source_api_url"":""https://api.ws.realpage.com/v2/property/8175735/units?available=true&honordisplayorder=true"",""sqft"":""756"",""unit_number"":""10""}","{""_available_date_raw"":null,""_concession_quality"":null,""_date_placeholder"":null,""_extra"":null,""_inferred_id"":null,""_rent_range_raw"":""$1,022"",""amenities"":null,""area"":756,""area_absence"":null,""area_absence_evidence"":null,""availability_date_provenance"":""capture_date_default"",""availability_status"":""AVAILABLE"",""available_date"":""2026-08-01"",""available_units"":null,""baths"":null,""beds"":null,""building"":null,""concession_source"":null,""concession_text"":null,""concession_text_clean"":null,""concession_value"":null,""date_captured"":""2026-08-01 09:06:23"",""deposit"":null,""extraction_tier"":""TIER_1_API"",""floor"":null,""floor_plan_id"":null,""floor_plan_name"":null,""is_floor_plan_level"":false,""lease_term"":null,""move_in_date"":null,""offer_banner"":null,""offer_conditions"":null,""offer_target"":null,""offer_type"":null,""offer_value"":null,""rent_high"":1022.0,""rent_low"":1022.0,""source_ids"":{},""unit_id"":""10"",""unit_name"":null}","{""floorplanId"":9628355,""id"":13480017,""internalAvailableDate"":""2026-05-30 00:00 -0500"",""leaseStatus"":""AVAILABLE_READY"",""name"":""10"",""rent"":1022,""unitNumber"":""10"",""vacantDate"":""2026-06-05 00:00 -0000""}"
local_current_live_no_rp_oracle_audit_not_canary,2026-08-01T09:06:23Z,2026-08-01,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,2114,Townes at University,realpage_public_widget_units_api,true,https://api.ws.realpage.com/v2/property/8175735/units?available=true&honordisplayorder=true,05,,2026-06-13 00:00 -0500,2026-06-13,historical_embedded,false,internalAvailableDate,_api_parser.realpage_units_to_adapter_shape,exact_current_parser,true,false,unsupported_response_units_envelope,,,,source_blank,false,false,,,,,false,false,false,NATIVE_ROW_DROPPED,adapter_row_selection_loss,MEDIUM,"Primary trace replays the exact public /units envelope. When that envelope is unsupported, the diagnostic trace changes only response.units -> response list to isolate the next loss.",{},{},controlled_single_change_replay_unwrap_response_units,true,,,,2026-08-01,capture_date_default,,,"{""availability_date"":"""",""availability_status"":""AVAILABLE"",""available_units"":"""",""bathrooms"":"""",""bed_label"":"""",""bedrooms"":"""",""building"":"""",""concession"":"""",""deposit"":"""",""extraction_tier"":""TIER_1_API"",""floor"":"""",""floor_plan_name"":"""",""rent_range"":""$1,033"",""source_api_url"":""https://api.ws.realpage.com/v2/property/8175735/units?available=true&honordisplayorder=true"",""sqft"":""756"",""unit_number"":""05""}","{""_available_date_raw"":null,""_concession_quality"":null,""_date_placeholder"":null,""_extra"":null,""_inferred_id"":null,""_rent_range_raw"":""$1,033"",""amenities"":null,""area"":756,""area_absence"":null,""area_absence_evidence"":null,""availability_date_provenance"":""capture_date_default"",""availability_status"":""AVAILABLE"",""available_date"":""2026-08-01"",""available_units"":null,""baths"":null,""beds"":null,""building"":null,""concession_source"":null,""concession_text"":null,""concession_text_clean"":null,""concession_value"":null,""date_captured"":""2026-08-01 09:06:23"",""deposit"":null,""extraction_tier"":""TIER_1_API"",""floor"":null,""floor_plan_id"":null,""floor_plan_name"":null,""is_floor_plan_level"":false,""lease_term"":null,""move_in_date"":null,""offer_banner"":null,""offer_conditions"":null,""offer_target"":null,""offer_type"":null,""offer_value"":null,""rent_high"":1033.0,""rent_low"":1033.0,""source_ids"":{},""unit_id"":""05"",""unit_name"":null}","{""floorplanId"":9628355,""id"":13480006,""internalAvailableDate"":""2026-06-13 00:00 -0500"",""leaseStatus"":""AVAILABLE_READY"",""name"":""05"",""rent"":1033,""unitNumber"":""05"",""vacantDate"":""2026-07-21 00:00 -0000""}"
local_current_live_no_rp_oracle_audit_not_canary,2026-08-01T09:06:23Z,2026-08-01,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,2114,Townes at University,realpage_public_widget_units_api,true,https://api.ws.realpage.com/v2/property/8175735/units?available=true&honordisplayorder=true,06,,2026-06-19 00:00 -0500,2026-06-19,historical_embedded,false,internalAvailableDate,_api_parser.realpage_units_to_adapter_shape,exact_current_parser,true,false,unsupported_response_units_envelope,,,,source_blank,false,false,,,,,false,false,false,NATIVE_ROW_DROPPED,adapter_row_selection_loss,MEDIUM,"Primary trace replays the exact public /units envelope. When that envelope is unsupported, the diagnostic trace changes only response.units -> response list to isolate the next loss.",{},{},controlled_single_change_replay_unwrap_response_units,true,,,,2026-08-01,capture_date_default,,,"{""availability_date"":"""",""availability_status"":""AVAILABLE"",""available_units"":"""",""bathrooms"":"""",""bed_label"":"""",""bedrooms"":"""",""building"":"""",""concession"":"""",""deposit"":"""",""extraction_tier"":""TIER_1_API"",""floor"":"""",""floor_plan_name"":"""",""rent_range"":""$1,134"",""source_api_url"":""https://api.ws.realpage.com/v2/property/8175735/units?available=true&honordisplayorder=true"",""sqft"":""756"",""unit_number"":""06""}","{""_available_date_raw"":null,""_concession_quality"":null,""_date_placeholder"":null,""_extra"":null,""_inferred_id"":null,""_rent_range_raw"":""$1,134"",""amenities"":null,""area"":756,""area_absence"":null,""area_absence_evidence"":null,""availability_date_provenance"":""capture_date_default"",""availability_status"":""AVAILABLE"",""available_date"":""2026-08-01"",""available_units"":null,""baths"":null,""beds"":null,""building"":null,""concession_source"":null,""concession_text"":null,""concession_text_clean"":null,""concession_value"":null,""date_captured"":""2026-08-01 09:06:23"",""deposit"":null,""extraction_tier"":""TIER_1_API"",""floor"":null,""floor_plan_id"":null,""floor_plan_name"":null,""is_floor_plan_level"":false,""lease_term"":null,""move_in_date"":null,""offer_banner"":null,""offer_conditions"":null,""offer_target"":null,""offer_type"":null,""offer_value"":null,""rent_high"":1134.0,""rent_low"":1134.0,""source_ids"":{},""unit_id"":""06"",""unit_name"":null}","{""floorplanId"":9628355,""id"":13479907,""internalAvailableDate"":""2026-06-19 00:00 -0500"",""leaseStatus"":""AVAILABLE_READY"",""name"":""06"",""rent"":1134,""unitNumber"":""06"",""vacantDate"":""2026-07-22 00:00 -0000""}"
local_current_live_no_rp_oracle_audit_not_canary,2026-08-01T09:06:23Z,2026-08-01,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,2114,Townes at University,realpage_public_widget_units_api,true,https://api.ws.realpage.com/v2/property/8175735/units?available=true&honordisplayorder=true,2,,2026-06-17 00:00 -0500,2026-06-17,historical_embedded,false,internalAvailableDate,_api_parser.realpage_units_to_adapter_shape,exact_current_parser,true,false,unsupported_response_units_envelope,,,,source_blank,false,false,,,,,false,false,false,NATIVE_ROW_DROPPED,adapter_row_selection_loss,MEDIUM,"Primary trace replays the exact public /units envelope. When that envelope is unsupported, the diagnostic trace changes only response.units -> response list to isolate the next loss.",{},{},controlled_single_change_replay_unwrap_response_units,true,,,,2026-08-01,capture_date_default,,,"{""availability_date"":"""",""availability_status"":""AVAILABLE"",""available_units"":"""",""bathrooms"":"""",""bed_label"":"""",""bedrooms"":"""",""building"":"""",""concession"":"""",""deposit"":"""",""extraction_tier"":""TIER_1_API"",""floor"":"""",""floor_plan_name"":"""",""rent_range"":""$1,141"",""source_api_url"":""https://api.ws.realpage.com/v2/property/8175735/units?available=true&honordisplayorder=true"",""sqft"":""756"",""unit_number"":""2""}","{""_available_date_raw"":null,""_concession_quality"":null,""_date_placeholder"":null,""_extra"":null,""_inferred_id"":null,""_rent_range_raw"":""$1,141"",""amenities"":null,""area"":756,""area_absence"":null,""area_absence_evidence"":null,""availability_date_provenance"":""capture_date_default"",""availability_status"":""AVAILABLE"",""available_date"":""2026-08-01"",""available_units"":null,""baths"":null,""beds"":null,""building"":null,""concession_source"":null,""concession_text"":null,""concession_text_clean"":null,""concession_value"":null,""date_captured"":""2026-08-01 09:06:23"",""deposit"":null,""extraction_tier"":""TIER_1_API"",""floor"":null,""floor_plan_id"":null,""floor_plan_name"":null,""is_floor_plan_level"":false,""lease_term"":null,""move_in_date"":null,""offer_banner"":null,""offer_conditions"":null,""offer_target"":null,""offer_type"":null,""offer_value"":null,""rent_high"":1141.0,""rent_low"":1141.0,""source_ids"":{},""unit_id"":""2"",""unit_name"":null}","{""floorplanId"":9628355,""id"":13479923,""internalAvailableDate"":""2026-06-17 00:00 -0500"",""leaseStatus"":""AVAILABLE_READY"",""name"":""2"",""rent"":1141,""unitNumber"":""2"",""vacantDate"":""2026-07-30 00:00 -0000""}"
local_current_live_no_rp_oracle_audit_not_canary,2026-08-01T09:06:23Z,2026-08-01,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,2114,Townes at University,realpage_public_widget_units_api,true,https://api.ws.realpage.com/v2/property/8175735/units?available=true&honordisplayorder=true,03,,2026-07-14 00:00 -0500,2026-07-14,historical_embedded,false,internalAvailableDate,_api_parser.realpage_units_to_adapter_shape,exact_current_parser,true,false,unsupported_response_units_envelope,,,,source_blank,false,false,,,,,false,false,false,NATIVE_ROW_DROPPED,adapter_row_selection_loss,MEDIUM,"Primary trace replays the exact public /units envelope. When that envelope is unsupported, the diagnostic trace changes only response.units -> response list to isolate the next loss.",{},{},controlled_single_change_replay_unwrap_response_units,true,,,,2026-08-01,capture_date_default,,,"{""availability_date"":"""",""availability_status"":""AVAILABLE"",""available_units"":"""",""bathrooms"":"""",""bed_label"":"""",""bedrooms"":"""",""building"":"""",""concession"":"""",""deposit"":"""",""extraction_tier"":""TIER_1_API"",""floor"":"""",""floor_plan_name"":"""",""rent_range"":""$1,141"",""source_api_url"":""https://api.ws.realpage.com/v2/property/8175735/units?available=true&honordisplayorder=true"",""sqft"":""756"",""unit_number"":""03""}","{""_available_date_raw"":null,""_concession_quality"":null,""_date_placeholder"":null,""_extra"":null,""_inferred_id"":null,""_rent_range_raw"":""$1,141"",""amenities"":null,""area"":756,""area_absence"":null,""area_absence_evidence"":null,""availability_date_provenance"":""capture_date_default"",""availability_status"":""AVAILABLE"",""available_date"":""2026-08-01"",""available_units"":null,""baths"":null,""beds"":null,""building"":null,""concession_source"":null,""concession_text"":null,""concession_text_clean"":null,""concession_value"":null,""date_captured"":""2026-08-01 09:06:23"",""deposit"":null,""extraction_tier"":""TIER_1_API"",""floor"":null,""floor_plan_id"":null,""floor_plan_name"":null,""is_floor_plan_level"":false,""lease_term"":null,""move_in_date"":null,""offer_banner"":null,""offer_conditions"":null,""offer_target"":null,""offer_type"":null,""offer_value"":null,""rent_high"":1141.0,""rent_low"":1141.0,""source_ids"":{},""unit_id"":""03"",""unit_name"":null}","{""floorplanId"":9628355,""id"":13479975,""internalAvailableDate"":""2026-07-14 00:00 -0500"",""leaseStatus"":""AVAILABLE_READY"",""name"":""03"",""rent"":1141,""unitNumber"":""03"",""vacantDate"":""2026-08-01 00:00 -0000""}"
local_current_live_no_rp_oracle_audit_not_canary,2026-08-01T09:06:23Z,2026-08-01,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,2114,Townes at University,realpage_public_widget_units_api,true,https://api.ws.realpage.com/v2/property/8175735/units?available=true&honordisplayorder=true,1,,2026-06-23 00:00 -0500,2026-06-23,historical_embedded,false,internalAvailableDate,_api_parser.realpage_units_to_adapter_shape,exact_current_parser,true,false,unsupported_response_units_envelope,,,,source_blank,false,false,,,,,false,false,false,NATIVE_ROW_DROPPED,adapter_row_selection_loss,MEDIUM,"Primary trace replays the exact public /units envelope. When that envelope is unsupported, the diagnostic trace changes only response.units -> response list to isolate the next loss.",{},{},controlled_single_change_replay_unwrap_response_units,true,,,,2026-08-01,capture_date_default,,,"{""availability_date"":"""",""availability_status"":""AVAILABLE"",""available_units"":"""",""bathrooms"":"""",""bed_label"":"""",""bedrooms"":"""",""building"":"""",""concession"":"""",""deposit"":"""",""extraction_tier"":""TIER_1_API"",""floor"":"""",""floor_plan_name"":"""",""rent_range"":""$1,025"",""source_api_url"":""https://api.ws.realpage.com/v2/property/8175735/units?available=true&honordisplayorder=true"",""sqft"":""756"",""unit_number"":""1""}","{""_available_date_raw"":null,""_concession_quality"":null,""_date_placeholder"":null,""_extra"":null,""_inferred_id"":null,""_rent_range_raw"":""$1,025"",""amenities"":null,""area"":756,""area_absence"":null,""area_absence_evidence"":null,""availability_date_provenance"":""capture_date_default"",""availability_status"":""AVAILABLE"",""available_date"":""2026-08-01"",""available_units"":null,""baths"":null,""beds"":null,""building"":null,""concession_source"":null,""concession_text"":null,""concession_text_clean"":null,""concession_value"":null,""date_captured"":""2026-08-01 09:06:23"",""deposit"":null,""extraction_tier"":""TIER_1_API"",""floor"":null,""floor_plan_id"":null,""floor_plan_name"":null,""is_floor_plan_level"":false,""lease_term"":null,""move_in_date"":null,""offer_banner"":null,""offer_conditions"":null,""offer_target"":null,""offer_type"":null,""offer_value"":null,""rent_high"":1025.0,""rent_low"":1025.0,""source_ids"":{},""unit_id"":""1"",""unit_name"":null}","{""floorplanId"":9628355,""id"":13479927,""internalAvailableDate"":""2026-06-23 00:00 -0500"",""leaseStatus"":""AVAILABLE_READY"",""name"":""1"",""rent"":1025,""unitNumber"":""1"",""vacantDate"":""2026-08-06 00:00 -0000""}"
local_current_live_no_rp_oracle_audit_not_canary,2026-08-01T09:06:23Z,2026-08-01,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,2114,Townes at University,realpage_public_widget_units_api,true,https://api.ws.realpage.com/v2/property/8175735/units?available=true&honordisplayorder=true,06,,2026-07-25 00:00 -0500,2026-07-25,historical_embedded,false,internalAvailableDate,_api_parser.realpage_units_to_adapter_shape,exact_current_parser,true,false,unsupported_response_units_envelope,,,,source_blank,false,false,,,,,false,false,false,NATIVE_ROW_DROPPED,adapter_row_selection_loss,MEDIUM,"Primary trace replays the exact public /units envelope. When that envelope is unsupported, the diagnostic trace changes only response.units -> response list to isolate the next loss.",{},{},controlled_single_change_replay_unwrap_response_units,true,,,,2026-08-01,capture_date_default,,,"{""availability_date"":"""",""availability_status"":""AVAILABLE"",""available_units"":"""",""bathrooms"":"""",""bed_label"":"""",""bedrooms"":"""",""building"":"""",""concession"":"""",""deposit"":"""",""extraction_tier"":""TIER_1_API"",""floor"":"""",""floor_plan_name"":"""",""rent_range"":""$1,125"",""source_api_url"":""https://api.ws.realpage.com/v2/property/8175735/units?available=true&honordisplayorder=true"",""sqft"":""756"",""unit_number"":""06""}","{""_available_date_raw"":null,""_concession_quality"":null,""_date_placeholder"":null,""_extra"":null,""_inferred_id"":null,""_rent_range_raw"":""$1,125"",""amenities"":null,""area"":756,""area_absence"":null,""area_absence_evidence"":null,""availability_date_provenance"":""capture_date_default"",""availability_status"":""AVAILABLE"",""available_date"":""2026-08-01"",""available_units"":null,""baths"":null,""beds"":null,""building"":null,""concession_source"":null,""concession_text"":null,""concession_text_clean"":null,""concession_value"":null,""date_captured"":""2026-08-01 09:06:23"",""deposit"":null,""extraction_tier"":""TIER_1_API"",""floor"":null,""floor_plan_id"":null,""floor_plan_name"":null,""is_floor_plan_level"":false,""lease_term"":null,""move_in_date"":null,""offer_banner"":null,""offer_conditions"":null,""offer_target"":null,""offer_type"":null,""offer_value"":null,""rent_high"":1125.0,""rent_low"":1125.0,""source_ids"":{},""unit_id"":""06"",""unit_name"":null}","{""floorplanId"":9628355,""id"":13479994,""internalAvailableDate"":""2026-07-25 00:00 -0500"",""leaseStatus"":""AVAILABLE_READY"",""name"":""06"",""rent"":1125,""unitNumber"":""06"",""vacantDate"":""2026-08-08 00:00 -0000""}"
local_current_live_no_rp_oracle_audit_not_canary,2026-08-01T09:06:23Z,2026-08-01,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,2114,Townes at University,realpage_public_widget_units_api,true,https://api.ws.realpage.com/v2/property/8175735/units?available=true&honordisplayorder=true,6,,2026-07-04 00:00 -0500,2026-07-04,historical_embedded,false,internalAvailableDate,_api_parser.realpage_units_to_adapter_shape,exact_current_parser,true,false,unsupported_response_units_envelope,,,,source_blank,false,false,,,,,false,false,false,NATIVE_ROW_DROPPED,adapter_row_selection_loss,MEDIUM,"Primary trace replays the exact public /units envelope. When that envelope is unsupported, the diagnostic trace changes only response.units -> response list to isolate the next loss.",{},{},controlled_single_change_replay_unwrap_response_units,true,,,,2026-08-01,capture_date_default,,,"{""availability_date"":"""",""availability_status"":""AVAILABLE"",""available_units"":"""",""bathrooms"":"""",""bed_label"":"""",""bedrooms"":"""",""building"":"""",""concession"":"""",""deposit"":"""",""extraction_tier"":""TIER_1_API"",""floor"":"""",""floor_plan_name"":"""",""rent_range"":""$1,226"",""source_api_url"":""https://api.ws.realpage.com/v2/property/8175735/units?available=true&honordisplayorder=true"",""sqft"":""756"",""unit_number"":""6""}","{""_available_date_raw"":null,""_concession_quality"":null,""_date_placeholder"":null,""_extra"":null,""_inferred_id"":null,""_rent_range_raw"":""$1,226"",""amenities"":null,""area"":756,""area_absence"":null,""area_absence_evidence"":null,""availability_date_provenance"":""capture_date_default"",""availability_status"":""AVAILABLE"",""available_date"":""2026-08-01"",""available_units"":null,""baths"":null,""beds"":null,""building"":null,""concession_source"":null,""concession_text"":null,""concession_text_clean"":null,""concession_value"":null,""date_captured"":""2026-08-01 09:06:23"",""deposit"":null,""extraction_tier"":""TIER_1_API"",""floor"":null,""floor_plan_id"":null,""floor_plan_name"":null,""is_floor_plan_level"":false,""lease_term"":null,""move_in_date"":null,""offer_banner"":null,""offer_conditions"":null,""offer_target"":null,""offer_type"":null,""offer_value"":null,""rent_high"":1226.0,""rent_low"":1226.0,""source_ids"":{},""unit_id"":""6"",""unit_name"":null}","{""floorplanId"":9628355,""id"":13479888,""internalAvailableDate"":""2026-07-04 00:00 -0500"",""leaseStatus"":""AVAILABLE_READY"",""name"":""6"",""rent"":1226,""unitNumber"":""6"",""vacantDate"":""2026-08-08 00:00 -0000""}"
local_current_live_no_rp_oracle_audit_not_canary,2026-08-01T09:06:23Z,2026-08-01,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,2114,Townes at University,realpage_public_widget_units_api,true,https://api.ws.realpage.com/v2/property/8175735/units?available=true&honordisplayorder=true,04,,2026-05-14 00:00 -0500,2026-05-14,historical_embedded,false,internalAvailableDate,_api_parser.realpage_units_to_adapter_shape,exact_current_parser,true,false,unsupported_response_units_envelope,,,,source_blank,false,false,,,,,false,false,false,NATIVE_ROW_DROPPED,adapter_row_selection_loss,MEDIUM,"Primary trace replays the exact public /units envelope. When that envelope is unsupported, the diagnostic trace changes only response.units -> response list to isolate the next loss.",{},{},controlled_single_change_replay_unwrap_response_units,true,,,,2026-08-01,capture_date_default,,,"{""availability_date"":"""",""availability_status"":""AVAILABLE"",""available_units"":"""",""bathrooms"":"""",""bed_label"":"""",""bedrooms"":"""",""building"":"""",""concession"":"""",""deposit"":"""",""extraction_tier"":""TIER_1_API"",""floor"":"""",""floor_plan_name"":"""",""rent_range"":""$1,803"",""source_api_url"":""https://api.ws.realpage.com/v2/property/8175735/units?available=true&honordisplayorder=true"",""sqft"":""945"",""unit_number"":""04""}","{""_available_date_raw"":null,""_concession_quality"":null,""_date_placeholder"":null,""_extra"":null,""_inferred_id"":null,""_rent_range_raw"":""$1,803"",""amenities"":null,""area"":945,""area_absence"":null,""area_absence_evidence"":null,""availability_date_provenance"":""capture_date_default"",""availability_status"":""AVAILABLE"",""available_date"":""2026-08-01"",""available_units"":null,""baths"":null,""beds"":null,""building"":null,""concession_source"":null,""concession_text"":null,""concession_text_clean"":null,""concession_value"":null,""date_captured"":""2026-08-01 09:06:23"",""deposit"":null,""extraction_tier"":""TIER_1_API"",""floor"":null,""floor_plan_id"":null,""floor_plan_name"":null,""is_floor_plan_level"":false,""lease_term"":null,""move_in_date"":null,""offer_banner"":null,""offer_conditions"":null,""offer_target"":null,""offer_type"":null,""offer_value"":null,""rent_high"":1803.0,""rent_low"":1803.0,""source_ids"":{},""unit_id"":""04"",""unit_name"":null}","{""floorplanId"":9628356,""id"":13480110,""internalAvailableDate"":""2026-05-14 00:00 -0500"",""leaseStatus"":""AVAILABLE_READY"",""name"":""04"",""rent"":1803,""unitNumber"":""04"",""vacantDate"":""2026-08-11 00:00 -0000""}"
